"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"VCVCU","10X Capital Venture Acquisition Corp","10.65","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/vcvcu",
"TXG","10x Genomics, Inc.","141.6","$15.24B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/txg",
"YI","111, Inc.","6.95","$572.4M","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/yi",
"YQ","17 Education & Technology Group Inc.","12.81","$2.41B","2020","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/yq",
"TURN","180 Degree Capital Corp.","2.22","$69.09M","n/a","Finance","Finance/Investors Services","https://old.nasdaq.com/symbol/turn",
"ATNF","180 Life Sciences Corp.","2.73","$66.61M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnf",
"ATNFW","180 Life Sciences Corp.","0.33","n/a","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnfw",
"FLWS","1-800-FLOWERS.COM, Inc.","26","$1.69B","1999","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/flws",
"GOED","1847 Goedeker Inc.","8.42","$51.46M","2020","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/goed",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.96","$47.51M","2019","Finance","Banks","https://old.nasdaq.com/symbol/bcow",
"ONEM","1Life Healthcare, Inc.","43.65","$5.81B","2020","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/onem",
"FCCY","1st Constitution Bancorp (NJ)","15.87","$162.47M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","40.3","$1.03B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","34.69","$4.61B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/vnet",
"XXII","22nd Century Group, Inc","2.2","$305.49M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","40.01","$2.88B","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/twou",
"QFIN","360 DigiTech, Inc.","11.79","$1.79B","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/qfin",
"KRKR","36Kr Holdings Inc.","2.79","$104.61M","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/krkr",
"DDD","3D Systems Corporation","10.48","$1.3B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ddd",
"MMM","3M Company","174.79","$100.82B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/mmm",
"FDMT","4D Molecular Therapeutics, Inc.","41.45","$1.1B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/fdmt",
"FVAM","5:01 Acquisition Corp.","10.17","$111.07M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/fvam",
"WBAI","500.com Limited","9","$387.01M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/wbai",
"JOBS","51job, Inc.","70","$4.72B","2004","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/jobs",
"VIIAU","7GC & Co. Holdings Inc.","10.55","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/viiau",
"ETNB","89bio, Inc.","24.37","$484.45M","2019","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/etnb",
"EGHT","8x8 Inc","34.47","$3.66B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"EGHT","8x8 Inc","34.47","$3.66B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/eght",
"NMTR","9 Meters Biopharma, Inc.","0.859","$174.72M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/nmtr",
"MASS","908 Devices Inc.","56.95","$1.49B","2020","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/mass",
"JFU","9F Inc.","1.04","$203M","2019","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/jfu",
"AHC","A.H. Belo Corporation","1.51","$32.33M","n/a","Consumer Services","Newspapers/Magazines","https://old.nasdaq.com/symbol/ahc",
"AOS","A.O Smith Corporation","54.82","$8.85B","n/a","Consumer Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/aos",
"ATEN","A10 Networks, Inc.","9.86","$756.35M","2014","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/aten",
"AAON","AAON, Inc.","66.63","$3.48B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","36.22","$1.28B","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/air",
"ABB","ABB Ltd","27.96","$57.56B","n/a","Consumer Durables","Electrical Products","https://old.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","109.49","$194.06B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","107.15","$189.17B","2012","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abbv",
"ABCM","Abcam plc","21.55","$4.88B","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/abcm",
"ABCL","AbCellera Biologics Inc.","40.24","$10.83B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abcl",
"ABEO","Abeona Therapeutics Inc.","1.57","$154.69M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ANF","Abercrombie & Fitch Company","20.36","$1.27B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.45","$1.1B","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","5.27","$119.85M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","8.16","$414.13M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"AGD","Aberdeen Global Dynamic Dividend Fund","10.44","$131.02M","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"FCO","Aberdeen Global Income Fund, Inc.","7.9","$68.93M","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"AWP","Aberdeen Global Premier Properties Fund","5.26","$449.25M","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","10.68","$186.17M","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","9.45","$126.71M","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"ASGI","Aberdeen Standard Global Infrastructure Income Fund","18.51","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.85","$933.06M","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABMD","ABIOMED, Inc.","324.2","$14.65B","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","37.84","$2.53B","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","2.29","$19.24M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ABST","Absolute Software Corporation","11.91","$580.94M","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/abst",
"ACIU","AC Immune SA","5.17","$370.9M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","72.96","$3.07B","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","3.94","$194.16M","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ASO","Academy Sports and Outdoors, Inc.","20.73","$1.86B","2020","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aso",
"ACHC","Acadia Healthcare Company, Inc.","50.26","$4.47B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","53.46","$8.5B","2004","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","14.19","$1.22B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACAM","Acamar Partners Acquisition Corp.","11.2","$427.8M","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","12.3998","n/a","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","2.58","n/a","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.325","$31.49M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"ACEL","Accel Entertainment, Inc.","10.1","$976.51M","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"AXDX","Accelerate Diagnostics, Inc.","7.58","$432.29M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","127.94","$7.71B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ACN","Accenture plc","261.21","$172.83B","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","8.45","$798.5M","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ACCD","Accolade, Inc.","43.5","$2.39B","2020","n/a","n/a","https://old.nasdaq.com/symbol/accd",
"ARAY","Accuray Incorporated","4.17","$380.31M","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACEV","ACE Convergence Acquisition Corp.","10.22","$293.83M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acev",
"ACEVU","ACE Convergence Acquisition Corp.","10.89","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevu",
"ACEVW","ACE Convergence Acquisition Corp.","1.39","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevw",
"ACLL","ACell, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acll",
"ACRX","AcelRx Pharmaceuticals, Inc.","1.24","$112.19M","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","2.62","$32.19M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","8.1","$49.33M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACIW","ACI Worldwide, Inc.","38.43","$4.49B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACAC","Acies Acquisition Corp.","10.3","$277.13M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acac",
"ACACU","Acies Acquisition Corp.","10.72","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acacu",
"ACACW","Acies Acquisition Corp.","2.13","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acacw",
"ACKIU","Ackrell SPAC Partners I Co. ","10.29","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/ackiu",
"ACRS","Aclaris Therapeutics, Inc.","6.47","$277.69M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","81.25","$1.5B","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","30.13","$100.6M","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","25","$217.58M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"STWO","ACON S2 Acquisition Corp.","10.08","$315M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/stwo",
"STWOU","ACON S2 Acquisition Corp.","10.5","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/stwou",
"STWOW","ACON S2 Acquisition Corp.","1.635","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/stwow",
"ACOR","Acorda Therapeutics, Inc.","0.6901","$39.25M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","20.77","$53.4M","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"ATNM","Actinium Pharmaceuticals, Inc.","7.8","$105.97M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"ATVI","Activision Blizzard, Inc","92.85","$71.76B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"AYI","Acuity Brands, Inc. ","121.09","$4.46B","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","40.54","$3.01B","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"AFIB","Acutus Medical, Inc.","28.81","$802.25M","2020","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/afib",
"ADMS","Adamas Pharmaceuticals, Inc.","4.33","$123.49M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.4851","$45.43M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","17.29","$1.88B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","11.37","$338.58M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","24.1","$102.24M","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"AHCO","AdaptHealth Corp. ","37.56","$3.3B","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",
"ADAP","Adaptimmune Therapeutics plc","5.39","$834.26M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","59.13","$8.09B","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADCT","ADC Therapeutics SA","32.01","$2.46B","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adct",
"ADXN","Addex Therapeutics Ltd","13.4","$59.23M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn",
"ADUS","Addus HomeCare Corporation","117.09","$1.85B","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.99","$35.97M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"AGRO","Adecoagro S.A.","6.8","$797.91M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ADIL","Adial Pharmaceuticals, Inc","1.7","$24.47M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.39","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ACET","Adicet Bio, Inc.","14.05","$275.24M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acet",
"ADNT","Adient plc","34.77","$3.26B","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADTX","ADiTx Therapeutics, Inc.","2.08","$25.54M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adtx",
"ADMA","ADMA Biologics Inc","1.95","$184.37M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","500.12","$239.92B","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADT","ADT Inc.","7.85","$6.48B","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","33.95","$1.77B","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"ADTN","ADTRAN, Inc.","14.77","$708.31M","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"AAP","Advance Auto Parts Inc","157.51","$10.69B","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"WMS","Advanced Drainage Systems, Inc.","83.58","$5.89B","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ADES","Advanced Emissions Solutions, Inc.","5.5","$102.01M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","96.97","$3.71B","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","91.71","$110.43B","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ASIX","AdvanSix Inc.","19.99","$560.33M","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"ADV","Advantage Solutions Inc. ","13.17","$4.13B","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/adv",
"ADVWW","Advantage Solutions Inc. ","2.83","n/a","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/advww",
"ADXS","Advaxis, Inc.","0.3487","$38.29M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"AVK","Advent Convertible and Income Fund","16.52","$570.36M","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ADVM","Adverum Biotechnologies, Inc.","10.84","$1.06B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","27.74","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq",
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","37.1748","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw",
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","34.17","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","28.2589","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","11.42","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"IMPX","AEA-Bridges Impact Corp.","10.1","$520.15M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/impx",
"IMPX.U","AEA-Bridges Impact Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/impx.u",
"IMPX.WS","AEA-Bridges Impact Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/impx.ws",
"ACM","AECOM","49.78","$7.51B","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEGN","Aegion Corp","18.99","$584.38M","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","7.87","$377.27M","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEFC","Aegon Funding Company LLC","27.58","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","25.44","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","3.95","$8.01B","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AEHR","Aehr Test Systems","2.53","$58.98M","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","2.49","$54.32M","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
"AENZ","Aenza S.A.A.","2.38","$415.03M","2018","Basic Industries","Military/Government/Technical","https://old.nasdaq.com/symbol/aenz",
"ARBGU","Aequi Acquisition Corp.","10.1","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/arbgu",
"AER","Aercap Holdings N.V.","45.58","$5.91B","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AERI","Aerie Pharmaceuticals, Inc.","13.51","$632.47M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri",
"ACY","AeroCentury Corp.","10.75","$16.62M","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","52.85","$4.04B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","86.9","$2.09B","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","0.98","$46.17M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo",
"ASLE","AerSale Corporation","13.41","$298.77M","2019","n/a","n/a","https://old.nasdaq.com/symbol/asle",
"ASLEW","AerSale Corporation","1.86","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/aslew",
"AIH","Aesthetic Medical International Holdings Group Ltd.","5.27","$124.44M","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih",
"AEZS","AEterna Zentaris Inc.","0.4255","$26.67M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","2.47","$29.86M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aemd",
"AMG","Affiliated Managers Group, Inc.","101.7","$4.61B","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","27.75","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"MGRB","Affiliated Managers Group, Inc.","26.37","n/a","2020","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgrb",
"AFMD","Affimed N.V.","5.82","$571.06M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd",
"AFL","Aflac Incorporated","44.47","$31.24B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"AFYA","Afya Limited","25.3","$2.36B","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya",
"MITT","AG Mortgage Investment Trust, Inc.","2.95","$120.13M","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","19.98","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","19.94","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","19.44","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGBA","AGBA Acquisition Limited","10.54","$62.98M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.342","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","11","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.4999","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw",
"AGCO","AGCO Corporation","103.09","$7.72B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","6","$347.88M","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGEN","Agenus Inc.","3.18","$604.67M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen",
"AGE","AgeX Therapeutics, Inc.","1.52","$57.29M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AGRX","Agile Therapeutics, Inc.","2.87","$250.94M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx",
"A","Agilent Technologies, Inc.","118.49","$36.36B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AGYS","Agilysys, Inc.","38.38","$905.43M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","43.33","$3B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","15.28","$441.46M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","15.6","$8.51B","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc",
"AGNCM","AGNC Investment Corp.","24.87","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","25.49","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn",
"AGNCO","AGNC Investment Corp.","24.71","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco",
"AGNCP","AGNC Investment Corp.","23.89","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncp",
"AEM","Agnico Eagle Mines Limited","70.51","$17.09B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"API","Agora, Inc.","39.56","$15.7B","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/api",
"ADC","Agree Realty Corporation","66.58","$3.69B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AGFS","AgroFresh Solutions, Inc.","2.27","$120.43M","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfs",
"AIKI","AIkido Pharma Inc.","0.8735","$30.5M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/aiki",
"ALRN","Aileron Therapeutics, Inc.","1.04","$42.31M","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/alrn",
"AIRI","Air Industries Group","1.23","$39.03M","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/airi",
"AL","Air Lease Corporation","44.42","$5.05B","2011","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/al",
"AL^A","Air Lease Corporation","26.2","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/al^a",
"APD","Air Products and Chemicals, Inc.","273.22","$60.4B","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/apd",
